Time,Node 634.V1_rms,Node 634.V2_rms,Node 634.V3_rms,UpperBound,LowerBound
0.0,283.6258850097656,283.624267578125,283.6265563964844,263.0,291.0
0.25,283.6255798339844,283.6237487792969,283.7790222167969,263.0,291.0
0.5,283.6254577636719,283.6239013671875,283.7791442871094,263.0,291.0
0.75,283.62542724609375,283.6239318847656,283.62591552734375,263.0,291.0
1.0,283.6253967285156,283.7772521972656,283.6259460449219,263.0,291.0
1.25,283.6253967285156,283.62396240234375,283.6259460449219,263.0,291.0
1.5,283.7786560058594,283.6239929199219,283.6259460449219,263.0,291.0
1.75,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
2.0,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
2.25,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
2.5,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
2.75,283.6253967285156,283.6239929199219,283.6259765625,263.0,291.0
3.0,283.6253967285156,283.7772521972656,283.6259460449219,263.0,291.0
3.25,283.6253967285156,283.6239929199219,283.6259765625,263.0,291.0
3.5,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
3.75,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
4.0,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
4.25,283.6253967285156,283.6239929199219,283.6259765625,263.0,291.0
4.5,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
4.75,283.6253967285156,283.6239929199219,283.6259765625,263.0,291.0
5.0,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
5.25,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
5.5,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
5.75,283.7786560058594,283.6239929199219,283.6259460449219,263.0,291.0
6.0,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
6.25,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
6.5,283.6253967285156,283.62396240234375,283.6259460449219,263.0,291.0
6.75,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
7.0,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
7.25,283.6253967285156,283.7772521972656,283.6259460449219,263.0,291.0
7.5,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
7.75,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
8.0,283.7786560058594,283.6239929199219,283.6259460449219,263.0,291.0
8.25,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
8.5,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
8.75,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
9.0,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
9.25,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
9.5,283.6253967285156,283.7772521972656,283.6259460449219,263.0,291.0
9.75,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
10.0,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
10.25,283.7786560058594,283.6239929199219,283.6259460449219,263.0,291.0
10.5,283.6253967285156,283.6239929199219,283.6259460449219,263.0,291.0
10.75,283.93841552734375,283.93707275390625,283.9383544921875,263.0,291.0
11.0,283.9383850097656,283.9370422363281,283.9383544921875,263.0,291.0
11.25,283.9383850097656,283.9370422363281,283.9383544921875,263.0,291.0
11.5,283.9383850097656,283.9370422363281,283.9383544921875,263.0,291.0
11.75,283.9383850097656,283.9370422363281,283.9383544921875,263.0,291.0
