Node,Phase,ReverseFlow,MinimumPower_kW,MaximumPower_kW,WorstReverseSimHour,WorstReverseWhen
611,C,1,-10.76692578125,130.3804453125,16.4375,07-Jan-2013 16:26
634,A,1,-10.0566083984375,139.81003125,14.5625,07-Jan-2013 14:33
634,B,1,-2.8582470703125,79.15003125,12.625,07-Jan-2013 12:37
634,C,1,-11.866330078125,73.11053125,36,08-Jan-2013 12:00
645,B,1,-4.1946044921875,112.952390625,8.8125,07-Jan-2013 08:48
646,B,1,-7.26104736328125,196.967125,17,07-Jan-2013 17:00
652,A,1,-9.827568359375,89.287484375,14.125,07-Jan-2013 14:07
692,C,1,-11.4422373046875,120.7202265625,16.4375,07-Jan-2013 16:26
671,A,1,-0.0929380187988281,293.20134375,13.875,07-Jan-2013 13:52
675,B,1,-9.5776142578125,58.500421875,40,08-Jan-2013 16:00
671,B,1,-2.090296875,280.229125,59.9375,09-Jan-2013 11:56
671,C,0,0,302.23903125,NaN,N/A
675,A,1,-0.898349731445312,388.52709375,83.4375,10-Jan-2013 11:26
675,C,1,-7.01982958984375,206.250625,11.9375,07-Jan-2013 11:56
